"Name","RA","DEC"
"SN2017eaw","20:34:44.24,20:34:44.238,20:34:44.16","+60:11:35.90,+60:11:36.00,+60:11:35.88"
"SN2005el","05:11:48.76,05:11:48.768,05:11:48.72","+05:11:39.0,+05:11:39.012,+05:11:39.41,+05:11:39.4"
"SN2006jd","08:02:07.43","+00:48:31.5,+00:48:31.50"
"iPTF13ebh","02:21:59.98,02:21:59.976","+33:16:13.7,+33:16:13.8"
"SN2016gkg","01:34:14.40,01:34:14.46,01:34:14.460,01:34:14.448,01:34:14.41","-29:26:24.2,-29:26:25.00,-29:26:24.36"
"SN1998bw","19:35:03.17,19:35:03.31,19:27:38.4","-52:50:46.1,-52:50:44.81,-52:50:46.65,-53:06:36"
"SN2001V","11:57:24.93","+25:12:09.0,+25:12:09.00"
"SN2004dj","07:37:17.02,07:37:17.044","+65:35:57.8,+65:35:57.80,+65:35:57.84"
"Gaia17cec","02:44:52.63,02:44:52.630,02:44:52.632","+14:00:02.59,+14:00:02.52,+14:00:02.88"
"SN2016dxv","18:12:29.40,18:12:29.36,18:12:29.28,18:12:29.35","+31:16:47.30,+31:16:47.3,+31:16:47.28,+31:16:47.4"
"PTF12dam","14:24:46.20,14:24:46.228","+46:13:48.3,+46:13:48.64"
"SN2003cg","10:14:15.97,10:14:16.00,10:14:16.008","+03:28:02.5,+03:28:01.7,+03:28:02.50,+03:28:01.79"
"SN2017ckc","14:28:36.17,14:28:36.170,14:28:36.1728,14:28:36.24","+16:41:04.42,+16:41:04.4268,+16:41:04.56"
"SN2013gh","22:02:21.84,22:02:21.85","-18:55:00.4,-18:55:00.41,-18:55:00.8"
"SN2007le","23:38:48.45,23:38:48.452,23:38:48.48,23:38:48.41","-06:31:21.7,-06:31:21.83,-06:31:21.684,-06:31:21.29,-06:31:21.3"
"SN2015F","07:36:15.76","-69:30:23.0,-69:30:23.00"
"SN2005hc","01:56:47.976,01:56:47.9,01:56:47.952,01:56:47.928,01:56:47.95,01:56:47.94","-00:12:48.62,-00:12:49,-00:12:49.392,-00:12:49.6332,-00:12:49.40,-00:12:49.2,-00:12:49.21"
"SN1998S","11:46:06.13,11:46:06.24,11:46:06.11,11:46:06.18","+47:28:55.4,+47:28:55.56,+47:28:55.8,+47:28:55.49,+47:28:55.57"
"iPTF13z","16:02:00.12","+21:14:41.4"
"SN2016coi","21:59:04.14,21:59:04.140,21:59:04.1376,21:59:04.08","+18:11:10.5,+18:11:10.46,+18:11:10.3308,+18:11:10.68,+18:11:11.04"
"SN1972E","13:39:52.7,13:39:53.2,13:39:52.70","-31:40:09,-31:40:15.0,-31:40:09.0"
"SN2006D","12:52:33.87,12:52:33.84,12:52:33.94","-09:46:30.7,-09:46:30.684,-09:46:30.79,-09:46:30.8"
"SN2005am","09:16:12.47,09:16:12.96","-16:18:16.0,-16:18:15.84,-16:18:15.98"
"SN2017hnp","23:48:25.67,23:48:25.670,23:48:25.68","-01:43:36.47,-01:43:35.976"
"SN2005M","09:37:32.76,09:37:32.40,09:37:32.36","+23:12:10.0,+23:12:02.88,+23:12:02.7,+23:12:02.70"
"SN2015L","22:02:15.45,22:02:15.36","-61:39:34.6,-61:39:34.60,-61:39:34.56"
"SN2013df","12:26:29.33","+31:13:38.3,+31:13:38.32"
"PS15ahs","17:59:29.77,17:59:29.76","+43:23:24.2,+43:23:24"
"SN2005eq","03:08:49.31,03:08:49.392,03:08:49.32","-07:01:59.7,-07:01:59.952,-07:01:59.70"
"SN2007on","03:38:50.90,03:38:50.9","-35:34:30.0,-35:34:30.00,-35:34:30"
"ASASSN-14dq","21:57:59.97,21:58:00.0","+24:16:08.1,+24:16:08.04"
"SN2006T","09:54:30.21","-25:42:29.3,-25:42:29.30"
"PTF11iqb","00:34:04.84,00:34:04.836","-09:42:17.9,-09:42:17.92"
